"";"AAPL";"AXP";"BA";"CAT";"CSCO";"CVX";"DD";"DIS";"GE";"GS";"HD";"IBM";"INTC";"JNJ";"JPM";"KO";"MCD";"MMM";"MRK";"MSFT";"NKE";"PFE";"PG";"TRV";"UNH";"UTX";"V";"VZ";"WMT";"XOM";"GSPC"
"2013-11-18";71,97704;80,94352;133,51711;80,52725;20,33706;114,13909;59,26409;67,79082;25,84321;162,48495;77,20692;177,49939;23,50427;89,83143;53,5801;38,41102;92,8093;124,85741;45,79782;35,45164;77,16837;30,39991;80,75256;85,25982;70,01889;105,67565;49,42428;47,4841;75,89907;91,36904;18,1847
"2013-11-19";72,10472;81,06149;132,18541;80,17271;20,46124;115,5592;59,06238;67,42017;25,66282;163,38724;77,89497;178,24991;23,59982;90,36488;53,97421;38,38234;93,12294;124,78065;45,85506;35,2788;76,4122;30,06752;80,53294;85,1728;69,95051;105,64661;48,80369;47,5028;75,92781;91,34032;18,1011
"2013-11-20";71,47325;80,85505;127,81396;79,2241;20,27974;115,5024;58,39002;67,52747;25,59636;161,81808;77,28445;178,19218;23,46605;90,64114;53,92614;38,30584;92,70475;124,55405;45,91229;35,60528;76,44167;30,31444;80,86714;85,0181;70,31194;105,38515;48,98418;47,14733;75,59248;90,63197;18,0361
"2013-11-21";72,32538;82,52621;128,27716;78,68751;20,509;116,88464;59,16804;68,22;25,54889;163,84818;77,36198;177,17224;24,10621;90,68877;55,00275;38,65964;92,85681;125,68217;46,37971;35,91256;76,68717;30,36193;80,84805;86,26538;71,22039;106,29539;49,84707;47,12862;75,55416;90,64154;17,9525
"2013-11-22";72,13941;82,42792;131,21077;79,41573;20,49945;117,42429;59,26409;68,4736;25,71029;164,85831;76,73207;174,44917;22,80679;91,36986;55,23344;38,65964;93,39856;126,32818;46,68497;36,07579;77,45317;30,50438;81,1154;87,52232;72,03115;106,71178;49,97316;46,97895;76,46433;90,94786;18,0318
"2013-11-25";72,68622;83,15536;128,34473;80,87221;20,31796;117,14973;59,14883;68,02492;25,378;166,21169;77,28445;172,17834;22,69213;91,73438;55,41608;38,60226;94,01633;126,53065;47,3718;36,14301;77,70849;30,52338;81,55464;87,78339;72,3535;106,81831;49,92619;46,7825;77,05834;91,02444;18,0174
"2013-11-26";74,02686;83,64688;130,06241;80,83388;20,26064;116,24086;58,89909;69,4295;25,42547;164,79945;77,8659;170,60994;22,59658;91,18759;54,95468;38,48752;93,33203;127,4177;47,29548;35,86454;78,17005;30,28595;80,8194;87,78339;72,79307;107,42837;50,31931;46,81992;77,29787;90,23949;17,9339
"2013-11-27";75,76999;84,1384;130,00452;81,13091;20,31796;115,90003;59,11041;69,02959;25,47294;165,51773;78,16632;172,20721;22,83545;91,11086;55,25267;38,69936;93,01578;128,71936;47,53396;36,1046;77,9049;30,27645;80,47565;87,97676;72,63678;107,98032;50,43551;46,70766;77,53738;89,7896;17,8875
"2013-11-29";77,17307;84,34485;129,55096;81,06384;20,29885;115,91897;58,95672;68,80524;25,31154;166,22617;78,17601;172,89038;22,77812;90,80389;55,00275;38,69936;93,31287;128,729;47,53396;36,61352;77,71832;30,134;80,41836;87,73505;72,75401;107,3509;50,30447;46,41767;77,61404;89,48328;17,9339
"2013-12-02";76,50136;83,8435;129,46413;80,72848;20,14601;115,82429;59,30251;69,16615;25,31154;166,99364;77,30383;170,77351;22,64436;90,43937;54,77205;38,59344;92,4887;123,10778;47,86784;36,9208;77,66921;30,22897;79,57808;86,05267;72,44142;106,81831;50,71737;46,0809;77,70984;89,52156;17,8132
