"Company";"Exchange";"Symbol";"Industry";"Date Added";"Notes"
"1";"3M";"NYSE";"MMM";"Conglomerate";"1976-08-09";"as Minnesota Mining and Manufacturing"
"2";"American Express";"NYSE";"AXP";"Consumer finance";"1982-08-30";""
"3";"Apple";"NASDAQ";"AAPL";"Consumer electronics";"2015-03-18";""
"4";"Boeing";"NYSE";"BA";"Aerospace and defense";"1987-03-12";""
"5";"Caterpillar";"NYSE";"CAT";"Construction and mining equipment";"1991-05-06";""
"6";"Chevron";"NYSE";"CVX";"Oil & gas";"2008-02-19";"also 1930-07-18 to 1999-11-01"
"7";"Cisco Systems";"NASDAQ";"CSCO";"Computer networking";"2009-06-08";""
"8";"Coca-Cola";"NYSE";"KO";"Beverages";"1987-03-12";"also 1932-05-26 to 1935-11-20"
"9";"DuPont";"NYSE";"DD";"Chemical industry";"1935-11-20";"also 1924-01-22 to 1925-08-31"
"10";"ExxonMobil";"NYSE";"XOM";"Oil & gas";"1928-10-01";"as Standard Oil of New Jersey"
"11";"General Electric";"NYSE";"GE";"Conglomerate";"1907-11-07";""
"12";"Goldman Sachs";"NYSE";"GS";"Banking, Financial services";"2013-09-20";""
"13";"The Home Depot";"NYSE";"HD";"Home improvement retailer";"1999-11-01";""
"14";"Intel";"NASDAQ";"INTC";"Semiconductors";"1999-11-01";""
"15";"IBM";"NYSE";"IBM";"Computers and technology";"1979-06-29";"also 1932-05-26 to 1939-03-04"
"16";"Johnson & Johnson";"NYSE";"JNJ";"Pharmaceuticals";"1997-03-17";""
"17";"JPMorgan Chase";"NYSE";"JPM";"Banking";"1991-05-06";""
"18";"McDonald's";"NYSE";"MCD";"Fast food";"1985-10-30";""
"19";"Merck";"NYSE";"MRK";"Pharmaceuticals";"1979-06-29";""
"20";"Microsoft";"NASDAQ";"MSFT";"Consumer electronics";"1999-11-01";""
"21";"Nike";"NYSE";"NKE";"Apparel";"2013-09-20";""
"22";"Pfizer";"NYSE";"PFE";"Pharmaceuticals";"2004-04-08";""
"23";"Procter & Gamble";"NYSE";"PG";"Consumer goods";"1932-05-26";""
"24";"Travelers";"NYSE";"TRV";"Insurance";"2009-06-08";""
"25";"UnitedHealth Group";"NYSE";"UNH";"Managed health care";"2012-09-24";""
"26";"United Technologies";"NYSE";"UTX";"Conglomerate";"1939-03-14";"as United Aircraft"
"27";"Verizon";"NYSE";"VZ";"Telecommunication";"2004-04-08";""
"28";"Visa";"NYSE";"V";"Consumer banking";"2013-09-20";""
"29";"Wal-Mart";"NYSE";"WMT";"Retail";"1997-03-17";""
"30";"Walt Disney";"NYSE";"DIS";"Broadcasting and entertainment";"1991-05-06";""
