"";"AAPL";"AXP";"BA";"CAT";"CSCO";"CVX";"DD";"DIS";"GE";"GS";"HD";"IBM";"INTC";"JNJ";"JPM";"KO";"MCD";"MMM";"MRK";"MSFT";"NKE";"PFE";"PG";"TRV";"UNH";"UTX";"V";"VZ";"WMT";"XOM"
"2014-01-02";76,765051;87,932939;131,88626;86,113569;21,175773;117,528425;61,194734;75,312772;26,320303;173,507308;79,452765;178,519329;24,641267;87,321761;56,320351;38,831567;91,596858;133,18357;47,278213;35,6821;76,865362;28,927879;76,904471;86,332179;72,811202;108,9293;54,643619;45,837682;76,042156;95,4852
"2014-01-03";75,078841;88,218021;132,803005;86,065656;21,156522;117,72724;61,26197;75,154784;26,301161;174,743207;79,326837;179,587385;24,631712;88,108357;56,755744;38,64056;91,720365;133,492103;47,507485;35,442043;76,659052;28,984863;76,81853;86,167886;73,328701;109,326325;54,680708;45,295112;75,791603;95,255463
"2014-01-06";75,488255;88,178699;133,565361;84,934978;21,185399;117,414814;60,474344;74,868423;26,090599;175,939878;78,561563;178,97157;24,325964;88,568807;57,084707;38,459105;91,06481;132,701475;47,51704;34,693065;76,069595;29,013352;76,999956;85,935935;72,488984;109,219807;54,351872;45,547687;75,367591;95,399051
"2014-01-07";74,948378;87,844469;135,591848;85,212857;21,474159;118,408895;59,869219;75,381893;26,119313;174,880529;78,949044;182,541386;24,450175;90,448962;56,426781;38,573708;91,568349;132,720748;47,870503;34,961928;76,128539;29,193796;77,744746;85,433389;74,705448;109,917017;54,767242;46,11832;75,598867;96,748763
"2014-01-08";75,423016;88,120437;135,89101;85,414078;21,454909;116,723697;60,637634;74,275955;26,042743;175,02767;79,365586;180,86713;24,297301;90,324261;56,958926;38,143943;90,646782;131,737285;47,564805;34,337778;75,735565;29,393234;76,61801;84,640908;73,83644;110,052585;54,942787;45,863001;75,001405;96,43287
"2014-01-09";74,459866;87,598075;137,155154;85,960253;21,262401;116,723697;61,415653;73,959971;26,052314;174,00755;79,016853;180,299428;24,182646;90,871041;56,852496;37,943387;90,694281;131,563723;47,306871;34,116926;75,735565;29,37424;76,789885;84,73755;74,28559;110,110684;54,866142;44,917372;75,25195;95,494774
"2014-01-10";73,96303;87,27284;136,933194;86,726817;21,38753;114,565129;61,031447;74,443819;25,803467;174,978623;79,443084;180,183953;24,392848;90,880628;56,591264;38,325401;91,017311;131,303388;47,650783;34,606645;75,568554;29,146312;76,675307;84,553924;72,938134;110,226888;54,673291;45,153779;75,203772;96,222275
"2014-01-13";74,35023;85,735335;135,7752;86,132729;21,358655;112,898862;60,186189;72,350424;25,583334;172,516627;78,435635;177,201102;24,364183;90,650407;55,826909;37,75238;90,095736;129,857103;50,74598;33,588801;73,859127;29,003857;76,398396;83,442515;72,196064;109,229492;54,121932;44,472925;74,673757;94,336509
"2014-01-14";75,82965;85,863465;135,109349;86,774723;21,570412;113,201819;61,041051;73,515614;25,813039;173,22286;78,474384;178,894591;25,329196;90,861446;55,865611;37,905185;90,466265;132,489352;50,631344;34,356983;73,8493;29,440718;77,219577;84,515266;72,274172;109,064868;55,049101;44,520209;75,126677;94,882138
"2014-01-15";77,352111;86,977164;135,697998;88,547401;21,926551;112,832591;61,213945;73,34775;26,167167;175,331739;78,532503;180,645825;25,482069;90,938189;57,558802;37,972037;90,694281;133,482467;50,172796;35,298007;74,104734;29,611665;77,143186;84,930836;73,074831;110,459289;55,323543;45,645507;74,837585;94,556671
"2014-01-16";76,920491;86,513942;135,30236;88,740292;21,926551;112,501233;61,463682;73,278628;26,033174;171,820198;78,716559;181,627272;25,357861;90,784703;57,075033;37,924286;91,264325;133,212495;50,15369;35,422838;73,475979;29,602168;76,923565;84,312314;71,043895;110,604543;54,831528;45,891368;73,970292;94,709834
"2014-01-17";75,035816;89,657934;135,54361;88,190548;21,888049;112,936733;61,492493;73,051519;25,43977;172,908972;78,464694;182,907016;24,698594;91,187592;56,223599;37,513623;90,190742;132,392927;49,628271;34,933123;72,100575;29,526192;76,27426;83,568157;70,80955;110,594857;57,405345;45,721155;73,421008;94,920429
"2014-01-21";76,20159;89,28341;136,711249;87,380395;21,974677;113,949746;61,213945;73,268752;25,162211;169,88787;77,941596;181,30974;24,450175;90,199552;56,281649;38,124842;90,333255;132,084394;49,513635;34,731472;72,454251;29,659149;76,560721;82,147488;71,434462;111,350166;57,343534;45,106498;73,083722;94,288643
"2014-01-22";76,540221;89,815623;139,31674;86,45451;21,984303;114,016017;60,531976;74,364821;24,875079;170,358686;77,689732;175,363272;24,182646;90,477739;55,720479;38,105745;90,143235;131,592648;49,055084;34,501019;72,208643;29,697138;76,225918;81,722252;71,6688;112,444402;57,605617;44,756617;72,611533;93,695149
"2014-01-23";77,188347;87,883893;136,363849;85,335737;21,714792;112,084665;59,312115;73,851351;24,712372;167,484724;77,72848;175,82513;24,010663;88,962101;54,636838;37,475424;90,561271;129,886042;49,293911;34,62585;71,452175;29,450216;75,27345;80,282257;71,473512;111,204913;56,433674;45,257799;72,235707;92,82406
"2014-01-24";75,785246;85,695911;131,866955;83,107821;21,368281;110,09651;57,602391;71,807331;23,879694;164,434197;76,68229;172,851896;23,704917;86,918872;53,301636;37,09341;89,715704;125,556824;49,656929;35,346021;70,391148;28,576491;76,177811;78,871253;69,911251;108,261146;54,702959;45,040305;71,715332;90,794697
"2014-01-27";76,400056;84,483655;132,55211;88,045877;21,175773;110,229053;57,861732;71,343228;23,994545;161,540613;76,469175;171,177641;23,618925;86,276167;53,301636;36,988356;89,373676;124,34195;50,182348;34,59704;70,636756;28,168119;75,494732;79,528434;69,960075;110,188153;53,459317;45,09704;71,455148;90,861704
"2014-01-28";70,293597;85,390384;132,291557;89,183944;20,935139;110,617213;57,218181;71,965319;24,367815;163,070778;76,081694;170,167329;23,790908;86,429646;53,930536;37,12206;89,478185;125,161502;50,507153;34,827497;71,432522;28,889892;76,110465;80,311249;70,018657;110,255937;54,63126;44,784984;71,956246;91,560496
"2014-01-29";69,495597;84,316109;125,237425;87,399688;20,838885;109,821954;58,313174;70,434777;24,205109;160,765712;74,279911;169,734322;23,580708;85,278532;53,727351;36,195682;88,499607;125,585748;49,87665;35,201986;70,509035;28,595485;74,696201;79,451117;69,579274;109,684609;53,681836;45,09704;71,406962;91,043583
"2014-01-30";69,360976;85,370676;122,101182;89,887998;21,156522;110,247985;59,110407;72,301056;24,406099;162,668615;74,522086;170,658052;23,638035;85,854089;54,182095;36,453537;89,117158;123,464533;51,11855;35,394032;72,640915;29,269772;73,955399;79,596084;71,082953;111,049981;54,61148;45,040305;72,03334;89,971466
"2014-01-31";69,474784;83,793747;120,875637;90,572774;21,089145;105,684694;58,601329;71,698711;24,051971;160,981506;74,444588;170,00374;23,446944;84,866049;53,562871;36,119278;89,468682;123,599519;50,602686;36,335056;71,570062;28,870898;73,714878;78,552326;70,575213;110,410869;53,263991;45,409099;71,965884;88,219713
"2014-02-03";69,603846;81,664905;118,771942;89,135718;20,742632;105,220792;57,621602;69,11159;23,305433;156,763747;72,739674;166,366577;22,883224;83,244891;52,546958;35,52716;88,376093;119,463143;49,752462;35,029144;69,634672;29,060839;72,829756;77,56656;69,071534;106,673058;52,779393;43,886636;70,019301;86,199925
"2014-02-04";70,611415;82,788462;117,768343;89,212877;20,983265;104,927305;59,177643;70,158292;23,515994;158,666636;72,623435;166,308847;22,759013;83,091412;53,166181;35,794567;88,442598;122,182159;51,11855;34,904313;69,271178;29,858587;73,204968;77,653536;68,846963;105,646606;53,043944;44,274344;70,086757;86,171202
"2014-02-05";71,138788;82,512502;117,150745;88,692066;21,156522;103,687069;59,456195;70,85938;23,46814;157,352265;72,904359;167,655953;22,686671;83,724523;53,417739;35,918722;88,90814;122,79924;51,137656;34,395393;69,359593;29,351048;73,551319;77,740519;69,149649;104,494278;53,308498;44,151411;70,221668;85,750019
"2014-02-06";71,553437;84,454089;118,376289;90,495615;21,647415;105,343866;60,474344;74,611684;23,879694;158,656833;73,77619;168,991084;23,140018;85,134641;54,646512;36,319834;90,200245;124,284086;51,366932;34,741076;70,253608;29,532996;73,984261;77,982129;69,198473;105,985525;54,149129;44,141956;70,173482;86,569439
"2014-02-07";72,554466;85,745193;122,574028;91,498658;21,820672;106,08233;60,945;74,720304;24,109398;158,833383;74,057107;171,487204;23,352223;86,372092;54,781967;36,243433;91,131315;125,662885;52,32224;35,105964;71,412877;29,896891;74,378711;78,165748;69,676914;107,225015;54,833999;44,264889;71,069683;87,321377
"2014-02-10";73,854272;87,065862;122,709135;91,141804;21,974677;105,741503;60,945;76,092858;23,975403;157,921175;74,018365;171,38078;23,42939;87,360132;54,898074;36,835551;90,124237;125,055441;52,436876;35,336417;71,393224;30,136296;75,071413;79,586418;68,09512;108,067472;54,529889;44,359451;71,079322;86,299506
"2014-02-11";74,827377;87,302406;125,604129;91,585456;21,859172;107,530843;61,751837;76,8137;24,339103;161,246347;74,299282;173,857546;23,603011;89,182735;55,565673;36,902403;90,580269;126,289603;53,210677;35,691701;72,680213;30,52892;75,850699;80,417558;68,95437;109,384424;54,969984;44,643139;72,081526;87,572019
"2014-02-12";74,821793;87,736055;124,342562;92,752456;21,993928;107,005508;61,432631;76,932196;24,300818;160,373367;74,86113;174,379998;23,680176;88,655137;55,652752;36,778248;90,152738;126,595326;52,541961;35,979772;72,807926;30,270364;74,551887;79,499442;68,583327;109,783533;55,524809;44,794439;72,235707;87,80339
"2014-02-13";76,009905;87,61779;125,672061;92,694591;21,435658;107,463983;61,887259;76,92232;24,348674;160,922656;75,161424;175,927969;23,824863;88,789433;56,146194;36,911956;90,694281;126,304165;52,63749;36,114204;73,554576;30,35655;74,850138;80,09863;69,53045;110,289721;55,495087;44,737704;72,621171;88,140797
"2014-02-14";75,948481;87,716347;126,312555;93,118957;21,714792;108,39048;62,39025;78,235629;24,635804;160,589161;75,490786;177,717828;23,882737;88,98129;56,262301;37,179363;90,998305;128,225801;52,962295;36,123804;73,751059;30,586378;76,389471;81,200373;71,785965;110,844576;55,978083;43,981198;73,035544;90,724384
"2014-02-18";76,227707;87,736055;126,768664;93,128596;21,570412;107,65501;62,59338;78,581235;24,549664;161,50137;75,142053;177,234084;23,882737;88,415321;56,591264;35,785019;91,226321;127,915241;53,201122;36,201197;73,888598;30,52892;75,01369;81,538633;72,088658;110,718025;55,992944;43,480016;72,592263;90,685822
"2014-02-19";75,024235;87,558651;124,594871;92,791036;21,445284;108,505094;62,158102;77,880147;24,310389;160,137951;74,057107;177,001881;23,631949;87,906912;55,40119;35,431654;90,779792;126,711784;52,580174;36,288266;73,505451;30,145872;75,177243;81,190713;71,815263;111,010058;55,45298;44,000111;72,129704;90,570137
"2014-02-20";74,155837;87,726204;125,730285;93,475804;21,464533;109,460244;63,212446;78,19613;24,252462;161,354244;75,054874;178,269288;23,863445;88,616765;55,710805;35,622661;90,969804;127,682309;53,315762;36,520451;74,2521;30,212905;74,965583;80,997421;71,746915;111,993225;55,34895;45,503661;70,848039;91,939057
"2014-02-21";73,332115;87,469952;124,488122;94,035194;21,300902;107,626357;62,74815;79,124328;24,078679;161,354244;75,306731;176,84708;23,554783;88,423533;55,73983;35,508059;91,634855;127,692024;53,525927;36,742959;75,136289;30,126719;75,01369;80,978095;72,069126;112,314451;55,32418;44,699878;70,462582;91,611285
"2014-02-24";73,653231;88,623076;125,759397;93,861591;21,291278;109,030429;62,467635;79,716804;24,416591;163,355226;75,432666;177,485625;23,757342;88,027408;56,146194;35,813668;91,682361;128,303445;53,669225;36,462404;76,472388;30,634259;74,90786;80,639842;74,217241;113,39496;56,025145;43,716423;70,684219;92,970564
