Company;Exchange;Symbol;Industry;Date Added;Notes;
1;3M;NYSE;MMM;Conglomerate;9.8.1976;as Minnesota Mining and Manufacturing
2;American Express;NYSE;AXP;Consumer finance;30.8.1982;
3;Apple;NASDAQ;AAPL;Consumer electronics;18.3.2015;
4;Boeing;NYSE;BA;Aerospace and defense;12.3.1987;
5;Caterpillar;NYSE;CAT;Construction and mining equipment;6.5.1991;
6;Chevron;NYSE;CVX;Oil & gas;19.2.2008;also 1930-07-18 to 1999-11-01
7;Cisco Systems;NASDAQ;CSCO;Computer networking;8.6.2009;
8;Coca-Cola;NYSE;KO;Beverages;12.3.1987;also 1932-05-26 to 1935-11-20
9;DuPont;NYSE;DD;Chemical industry;20.11.1935;also 1924-01-22 to 1925-08-31
10;ExxonMobil;NYSE;XOM;Oil & gas;1.10.1928;as Standard Oil of New Jersey
11;General Electric;NYSE;GE;Conglomerate;7.11.1907;
12;Goldman Sachs;NYSE;GS;Banking, Financial services;20.9.2013;
13;The Home Depot;NYSE;HD;Home improvement retailer;1.11.1999;
14;Intel;NASDAQ;INTC;Semiconductors;1.11.1999;
15;IBM;NYSE;IBM;Computers and technology;29.6.1979;also 1932-05-26 to 1939-03-04
16;Johnson & Johnson;NYSE;JNJ;Pharmaceuticals;17.3.1997;
17;JPMorgan Chase;NYSE;JPM;Banking;6.5.1991;
18;McDonald's;NYSE;MCD;Fast food;30.10.1985;
19;Merck;NYSE;MRK;Pharmaceuticals;29.6.1979;
20;Microsoft;NASDAQ;MSFT;Software;1.11.1999;
21;Nike;NYSE;NKE;Apparel;20.9.2013;
22;Pfizer;NYSE;PFE;Pharmaceuticals;8.4.2004;
23;Procter & Gamble;NYSE;PG;Consumer goods;26.5.1932;
24;Travelers;NYSE;TRV;Insurance;8.6.2009;
25;UnitedHealth Group;NYSE;UNH;Managed health care;24.9.2012;
26;United Technologies;NYSE;UTX;Conglomerate;14.3.1939;as United Aircraft
27;Verizon;NYSE;VZ;Telecommunication;8.4.2004;
28;Visa;NYSE;V;Consumer banking;20.9.2013;
29;Wal-Mart;NYSE;WMT;Retail;17.3.1997;
30;Walt Disney;NYSE;DIS;Broadcasting and entertainment;6.5.1991;
