"";"AAPL";"AXP";"BA";"CAT";"CSCO";"CVX";"DD";"DIS";"GE";"GS";"HD";"IBM";"INTC";"JNJ";"JPM";"KO";"MCD";"MMM";"MRK";"MSFT";"NKE";"PFE";"PG";"TRV";"UNH";"UTX";"V";"VZ";"WMT";"XOM"
"2010-01-04";28,83805;37,86977;49,74539;51,22918;22,20882;66,16577;28,75776;29,97158;12,97573;161,91029;25,20525;119,53254;17,49561;54,51418;37,93679;24,46602;53,0607;72,9019;30,16182;26,94331;30,37726;15,54546;51,45003;43,47459;29,24539;63,40834;21,18097;23,74867;47,66087;60,26385
"2010-01-05";28,8879;37,78648;51,37465;51,84166;22,10988;66,63445;28,48076;29,89682;13,04291;164,77283;25,38987;118,08859;17,48723;53,88206;38,67162;24,17006;52,65501;72,44528;30,28406;26,95201;30,49812;15,32373;51,46687;42,44467;29,19901;62,46115;20,93826;23,79148;47,18628;60,49915
"2010-01-06";28,4284;38,39729;52,93306;51,99915;21,96596;66,64281;28,57309;29,73794;12,97573;163,01414;25,30196;117,32149;17,42858;54,32032;38,8841;24,16148;51,9366;73,47269;30,69154;26,78661;30,31218;15,27446;51,22275;41,84243;29,48655;62,13362;20,65709;23,10739;47,08081;61,02205
"2010-01-07";28,37585;39,02005;55,07589;52,20914;22,0649;66,39174;28,86688;29,74729;13,64761;166,20409;25,60087;116,91537;17,261;53,93263;39,65435;24,10143;52,31694;73,52538;30,74044;26,50804;30,60968;15,21698;50,94496;42,44467;30,61815;62,39919;20,84934;22,96984;47,10718;60,83033
"2010-01-08";28,5645;38,99216;54,54461;52,79537;22,18184;66,50891;28,48915;29,79402;13,94156;163,06091;25,47779;118,08859;17,45372;54,11805;39,55696;23,65535;52,26622;74,04346;30,72414;26,69085;30,54925;15,34016;50,87761;42,38358;30,33061;62,52311;20,90701;22,98432;46,86989;60,5863
"2010-01-11";28,31251;38,54601;53,89822;56,11148;22,11887;67,68894;28,75776;29,30804;14,07593;160,48839;24,75688;116,8522;17,55427;54,12648;39,42416;24,13574;52,67191;73,7449;30,84639;26,35134;30,17273;15,46334;50,67559;42,36612;30,53467;63,87751;20,84694;23,07843;47,64329;61,26607
"2010-01-12";27,99047;39,05723;53,50862;54,45781;21,76806;67,2956;28,53952;28,80337;14,08433;156,98976;24,59864;117,78175;17,26938;54,41304;38,50341;24,39739;52,95927;73,80637;30,6019;26,17723;30,1309;15,41407;51,25642;42,63669;29,72771;63,50571;20,74841;23,10015;48,1003;60,96104
"2010-01-13";28,38528;39,17806;54,155;54,53655;22,16385;66,78509;28,79134;29,24262;14,13472;158,15909;24,73051;117,52905;17,56264;54,7586;39,17627;24,46173;52,90011;73,56927;31,72655;26,42098;30,4005;15,7754;51,78675;42,78507;30,18221;64,23159;20,94066;23,07119;48,34638;60,71703
"2010-01-14";28,22088;39,67069;54,50919;54,23031;22,44269;66,57586;28,61506;28,99029;14,02554;157,65393;24,87996;119,4062;17,99836;54,86816;39,56581;24,50462;52,95082;73,3234;32,59041;26,95201;30,20992;15,915;51,83725;43,012;30,90569;64,4529;21,01275;22,60064;47,64329;60,72574
"2010-01-15";27,74926;39,40114;53,85395;52,96177;21,94796;66,30805;28,54791;28,59777;13,80718;154,5482;25,11733;118,92789;17,42858;54,41304;38,67162;24,14432;52,6381;73,20925;32,16663;26,86496;29,93102;16,00534;51,19749;42,58432;31,30453;63,72702;20,70035;22,13734;47,17749;60,22899
"2010-01-19";28,97684;39,93095;53,70342;53,67532;22,35274;66,68465;29,24461;28,98094;13,89117;156,09171;25,38987;121,05772;17,63806;55,07887;38,31749;24,20008;53,65233;74,74597;33,10384;27,07389;30,07976;16,42415;51,9551;43,14292;32,58454;63,99258;21,11128;22,60788;47,48509;60,36843
