"";"OPK";"AVT";"GPN";"SDRL";"LEG";"ITC";"TEG";"IEX";"CSGP";"CSL"
"2010-01-04";1.95;29.6;52.23;17.44;16.48;15.53;32.79;28.96;42.25;32.52
"2010-01-05";1.93;29.36;52.12;17.14;16.3;15.41;32.23;28.76;42.45;32.58
"2010-01-06";1.79;29.17;51.94;17.01;16.49;15.48;32.44;29.11;42.5;32.47
"2010-01-07";1.92;28.57;51.61;17.11;17.02;15.45;31.93;29.05;42.42;33
"2010-01-08";1.89;29.07;48.56;17.27;17.02;15.72;31.72;29.5;42.34;32.79
"2010-01-11";1.91;29.08;47.42;16.95;16.94;15.71;32.1;29.5;42.36;33.3
"2010-01-12";1.82;27.78;47.37;16.55;16.41;15.77;32.03;29.07;41.72;33.61
"2010-01-13";1.83;27.66;47.41;16.88;16.62;16.2;32.29;29.18;41.52;33.86
"2010-01-14";1.84;28.22;46.59;16.52;16.64;16.12;32.48;29.07;42.49;34.15
"2010-01-15";1.76;27.49;46.1;16.55;16.86;15.96;32.17;28.69;41.42;33.25
"2010-01-19";1.85;27.97;46.37;15.92;17;16.16;32.36;29.02;41.95;33.73
"2010-01-20";1.88;27.81;46.3;15.33;16.87;16.06;33.06;28.79;40.93;33.87
"2010-01-21";1.71;27.72;45.49;15.19;16.36;15.72;33.19;28.03;41.02;33.24
"2010-01-22";1.72;26.5;45.02;14.9;16.08;15.62;32.32;27.54;40.61;32.35
"2010-01-25";1.74;27.07;44.92;15.09;16.25;15.55;32.9;27.16;41.04;32.21
"2010-01-26";1.79;27.23;44.87;14.81;16.21;15.47;33;27;40.66;32.06
"2010-01-27";1.79;27.26;45.13;14.87;16.11;15.83;33.13;26.9;41;31.62
"2010-01-28";1.78;26.4;44.9;14.84;15.92;16.1;32.69;26.46;40.62;31.4
"2010-01-29";1.7;25.87;44.13;15;14.67;16.17;32.46;25.92;40.38;31.05
"2010-02-01";1.74;26.29;44.63;15.07;15.17;16.12;32.71;26.44;40.02;31.53
"2010-02-02";1.7;26.78;44.94;15.6;15.51;16.02;33.07;26.94;39.04;31.69
"2010-02-03";1.71;26.95;44.89;15.79;15.39;15.97;33.04;26.93;39.05;33.05
"2010-02-04";1.64;25.78;44.85;14.97;14.99;15.62;32.4;26.91;38.22;33
"2010-02-05";1.63;26.23;44.76;14.28;14.82;15.65;32.02;26.66;38.5;31.73
"2010-02-08";1.69;26.22;44.61;14.31;14.75;15.48;31.67;26.85;38.45;31.69
"2010-02-09";1.68;26.36;45.1;14.58;14.99;15.56;31.88;26.91;38.65;31.86
"2010-02-10";1.74;26.11;44.85;14.41;14.87;15.46;31.82;26.66;38.77;31.39
"2010-02-11";1.94;26.53;45.23;14.87;15.06;15.78;32.25;27.14;39.45;31.91
"2010-02-12";2.03;26.84;44.14;14.08;15.09;15.86;31.93;27.5;39.02;31.97
"2010-02-16";2.07;27.13;44.24;14.31;15.58;16.22;32.95;27.85;39.5;32.42
"2010-02-17";2.03;27.21;43.36;14.31;15.65;16.32;33.99;28.11;39.85;32.09
"2010-02-18";2.03;27.4;43.5;13.83;15.74;16.33;34.53;28.7;40.06;32.34
"2010-02-19";2.02;27.59;43.25;14.54;15.59;16.57;35.46;28.92;40.18;32.29
"2010-02-22";2.04;27.14;42.68;14.54;15.64;16.58;35.6;28.95;40.65;32.09
"2010-02-23";2.05;26.68;42.38;14.41;15.43;16.44;35.53;28.31;39.83;31.95
"2010-02-24";2;26.84;42.75;14.38;15.53;16.5;35.39;28.38;39.82;32.35
"2010-02-25";2.01;27.13;42.6;14.21;15.14;16.2;35.28;28.52;39.47;32.33
"2010-02-26";2.01;27.02;42.47;15.3;15.23;16.16;34.71;28.48;39.35;31.92
