"";"AAPL";"AXP";"BA";"CAT";"CSCO";"CVX";"DD";"DIS";"GE";"GS";"HD";"IBM";"INTC";"JNJ";"JPM";"KO";"MCD";"MMM";"MRK";"MSFT";"NKE";"PFE";"PG";"TRV";"UNH";"UTX";"V";"VZ";"WMT";"XOM";"GSPC"
"2013-11-18";71,97704;80,94352;133,51711;80,52725;20,33706;115,27644;59,65461;67,79082;25,84321;162,48495;77,20692;177,49939;23,50427;90,48649;53,5801;38,41102;92,8093;125,64694;45,79782;35,68204;77,16837;30,39991;80,75256;85,25982;70,01889;106,2551;49,51077;47,4841;75,89907;92,12476;18,1847
"2013-11-19";72,10472;81,06149;132,18541;80,17271;20,46124;116,71071;59,45158;67,42017;25,66282;163,38724;77,89497;178,24991;23,59982;91,02384;53,97421;38,38234;93,12294;125,56969;45,85506;35,50808;76,4122;30,06752;80,53294;85,1728;69,95051;106,22589;48,8891;47,5028;75,92781;92,0958;18,1011
"2013-11-20";71,47325;80,85505;127,81396;79,2241;20,27974;116,65334;58,77478;67,52747;25,59636;161,81808;77,28445;178,19218;23,46605;91,30212;53,92614;38,30584;92,70475;125,34166;45,91229;35,83668;76,44167;30,31444;80,86714;85,0181;70,31194;105,96301;49,0699;47,14733;75,59248;91,38158;18,0361
"2013-11-21";72,32538;82,52621;128,27716;78,68751;20,509;118,04935;59,55793;68,22;25,54889;163,84818;77,36198;177,17224;24,10621;91,35009;55,00275;38,65964;92,85681;126,47691;46,37971;36,14595;76,68717;30,36193;80,84805;86,26538;71,22039;106,87823;49,9343;47,12862;75,55416;91,39124;17,9525
"2013-11-22";72,13941;82,42792;131,21077;79,41573;20,49945;118,59438;59,65461;68,4736;25,71029;164,85831;76,73207;174,44917;22,80679;92,03613;55,23344;38,65964;93,39856;127,127;46,68497;36,31025;77,45317;30,50438;81,1154;87,52232;72,03115;107,29691;50,06062;46,97895;76,46433;91,7001;18,0318
"2013-11-25";72,68622;83,15536;128,34473;80,87221;20,31796;118,31708;59,53859;68,02492;25,378;166,21169;77,28445;172,17834;22,69213;92,40331;55,41608;38,60226;94,01633;127,33076;47,3718;36,3779;77,70849;30,52338;81,55464;87,78339;72,3535;107,40401;50,01356;46,7825;77,05834;91,7773;18,0174
"2013-11-26";74,02686;83,64688;130,06241;80,83388;20,26064;117,39915;59,28721;69,4295;25,42547;164,79945;77,8659;170,60994;22,59658;91,85255;54,95468;38,48752;93,33203;128,22342;47,29548;36,09763;78,17005;30,28595;80,8194;87,78339;72,79307;108,01742;50,40737;46,81992;77,29787;90,98587;17,9339
"2013-11-27";75,76999;84,1384;130,00452;81,13091;20,31796;117,05493;59,49992;69,02959;25,47294;165,51773;78,16632;172,20721;22,83545;91,77525;55,25267;38,69936;93,01578;129,53331;47,53396;36,33924;77,9049;30,27645;80,47565;87,97676;72,63678;108,5724;50,52378;46,70766;77,53738;90,53225;17,8875
"2013-11-29";77,17307;84,34485;129,55096;81,06384;20,29885;117,07406;59,34522;68,80524;25,31154;166,22617;78,17601;172,89038;22,77812;91,46605;55,00275;38,69936;93,31287;129,54301;47,53396;36,85147;77,71832;30,134;80,41836;87,73505;72,75401;107,93952;50,39251;46,41767;77,61404;90,2234;17,9339
"2013-12-02";76,50136;83,8435;129,46413;80,72848;20,14601;116,97843;59,69329;69,16615;25,31154;166,99364;77,30383;170,77351;22,64436;91,09886;54,77205;38,59344;92,4887;123,88624;47,86784;37,16074;77,66921;30,22897;79,57808;86,05267;72,44142;107,40401;50,80613;46,0809;77,70984;90,26199;17,8132
