Date;MMM;AXP;AAPL;BA;CAT;CVX;CSCO;KO;DD;XOM;GE;GS;HD;INTC;IBM;JNJ;JPM;MCD;MRK;MSFT;NKE;PFE;PG;TRV;UNH;UTX;VZ;V;WMT;DIS;gspc
2013-01-02;899399,00;5723386,00;7463931,00;7338805,00;8778889,00;10218946,00;1900029,00;3519418,00;429539,00;8334448,00;1978458,00;12785981,00;6056059,00;1978601,00;18673668,00;6643214,00;4204409,00;8363097,00;3835751,00;2590987,00;5037528,00;2400886,00;6425806,00;6919188,00;5263906,00;8000072,00;3965419,00;3818512,00;6553476,00;4984332,00;189877,00
2013-01-03;8983552,00;574774,00;7369719,00;7376895,00;8863392,00;10175437,00;1910305,00;3519418,00;4241077,00;8319417,00;1956207,00;12716059,00;6038887,00;1973049,00;18570955,00;6633836,00;4195936,00;8410424,00;3927608,00;2556278,00;508903,00;2395326,00;638506,00;6972369,00;5017794,00;8029596,00;3946608,00;3821461,00;6511832,00;4995061,00;190143,00
2013-01-04;9049978,00;5807166,00;7164438,00;7397844,00;8912215,00;10229129,00;1913107,00;3525034,00;428228,00;8357936,00;1965479,00;13062755,00;6027439,00;1958242,00;18449223,00;6709797,00;4270309,00;833804,00;3894205,00;2508436,00;5138589,00;2405519,00;6398024,00;7033147,00;5027445,00;8093407,00;3968106,00;3852671,00;653644,00;5090651,00;192186,00
2013-01-07;9061365,00;5831521,00;7122294,00;7249296,00;8939444,00;101597,00;1895359,00;3491338,00;4288834,00;8261166,00;1958989,00;13038477,00;5995002,00;1966571,00;18368384,00;6695731,00;4275016,00;8436408,00;3908123,00;2503746,00;5146363,00;2407372,00;6354501,00;6938181,00;5027445,00;8054359,00;4003039,00;3880196,00;6473972,00;4971652,00;192718,00
2013-01-08;9062314,00;5864643,00;7141463,00;7058851,00;8825835,00;1011434,00;1897227,00;3467001,00;4312245,00;831284,00;1937665,00;12920969,00;6031255,00;1951764,00;18342705,00;6696668,00;4283488,00;8439192,00;3913691,00;2490612,00;5091946,00;2411079,00;6344315,00;6950527,00;496085,00;7957215,00;3905625,00;3916321,00;6491955,00;4951168,00;193251,00
2013-01-09;9148667,00;5870488,00;702985,00;7309286,00;8867147,00;1014026,00;1896293,00;3466065,00;4348766,00;8280896,00;1942301,00;13044304,00;6026484,00;198508,00;18290399,00;6726677,00;4280664,00;8427128,00;3951733,00;2504684,00;5096804,00;2452777,00;6378577,00;7021751,00;5054469,00;8052454,00;3896563,00;3976039,00;6490062,00;4953119,00;195383,00
2013-01-10;9194215,00;5922121,00;7116991,00;734071,00;8927238,00;10226352,00;1909371,00;3459513,00;4326292,00;837109,00;1962697,00;133405,00;6069415,00;201747,00;18343657,00;6769815,00;4344681,00;848188,00;3969361,00;248217,00;5106522,00;2479649,00;6414693,00;7070183,00;512589,00;8092454,00;3950028,00;3944583,00;6470186,00;4954095,00;197781,00
2013-01-11;913633,00;596596,00;7073353,00;7156931,00;8937566,00;10342992,00;1913107,00;3454833,00;4321609,00;8419005,00;1958989,00;13317194,00;6077047,00;2035979,00;1849297,00;6784819,00;434374,00;8512504,00;4011115,00;2516879,00;5159967,00;245741,00;6410063,00;710817,00;5097901,00;8112454,00;3923749,00;3960557,00;6495741,00;4933611,00;199024,00
2013-01-14;9212245,00;5963037,00;682117,00;728929,00;8884986,00;10446671,00;195888,00;3462321,00;4332847,00;8416187,00;1958062,00;13220079,00;6056059,00;2035979,00;18318929,00;6804512,00;4319263,00;8493944,00;4021321,00;2522507,00;5168713,00;2477796,00;6448031,00;7117666,00;5150019,00;8171503,00;385941,00;3948023,00;6464507,00;4934586,00;198314,00
2013-01-15;9232172,00;5919198,00;6605965,00;7326427,00;8982634,00;10501289,00;1959814,00;3493209,00;4330974,00;8411489,00;1965479,00;13167638,00;6100898,00;2024874,00;18307516,00;6786695,00;4363509,00;8492088,00;3977712,00;2552526,00;5212442,00;2466677,00;6471181,00;7175595,00;5175113,00;818674,00;3803227,00;3943108,00;6528868,00;4983357,00;199113,00
2013-01-16;926159,00;590556,00;6880171,00;7078848,00;8937566,00;10550351,00;1964485,00;3493209,00;4304754,00;8405852,00;1958062,00;13701762,00;6092311,00;2046159,00;18316077,00;6806388,00;4407757,00;845404,00;3947093,00;2536579,00;5221188,00;246575,00;6473235,00;7174645,00;5178973,00;8149597,00;3761543,00;3936964,00;6550637,00;5026274,00;202932,00
2013-01-17;9307139,00;591725,00;6833813,00;7166453,00;8985451,00;10621631,00;1957012,00;3510994,00;4341275,00;8474436,00;197475,00;13693993,00;6205839,00;2098909,00;18416885,00;6836397,00;4371983,00;8515288,00;3966578,00;2556278,00;5196894,00;2486136,00;6504043,00;7207883,00;5250394,00;8228646,00;3817726,00;39291,00;6516563,00;5112111,00;20604,00
2013-01-18;9369768,00;5823727,00;6797379,00;7145504,00;9165723,00;10667916,00;1963551,00;3528778,00;4400269,00;8530807,00;2043356,00;14028064,00;6245907,00;1966571,00;18494872,00;6867344,00;4373865,00;8561687,00;3987919,00;2556278,00;5178431,00;2459264,00;6529249,00;7246819,00;5265836,00;8281026,00;3854879,00;3889534,00;654969,00;5105283,00;204708,00
2013-01-22;9425755,00;5786708,00;6862226,00;7061708,00;9175113,00;1072994,00;1949539,00;3475425,00;4477993,00;8542081,00;2040575,00;14173735,00;6272619,00;1959167,00;18647989,00;6816704,00;4381397,00;8625719,00;4008332,00;2546897,00;5196894,00;2472236,00;6530182,00;7402562,00;5406748,00;8330551,00;3891126,00;3908703,00;6585658,00;5143324,00;207816,00
2013-01-23;9440938,00;5740921,00;6987842,00;7074087,00;9093427,00;10646626,00;1926185,00;3475425,00;4448027,00;8521412,00;2034085,00;1413586,00;6340354,00;1953615,00;19469688,00;6831708,00;4352213,00;8674903,00;3973073,00;2590049,00;5158996,00;2469456,00;6599265,00;7373123,00;5396131,00;8387695,00;3877534,00;3908703,00;6577139,00;5262323,00;208714,00
2013-01-24;9458018,00;5776966,00;6124438,00;7172166,00;9069953,00;10691985,00;1963551,00;3473553,00;4501403,00;8582481,00;2044283,00;14077592,00;6425261,00;1938807,00;19441156,00;6855152,00;4365392,00;8659127,00;3989774,00;2591925,00;523382,00;2487989,00;6574059,00;7415858,00;5426051,00;8468648,00;385941,00;3921236,00;6605534,00;5262323,00;208265,00
2013-01-25;954532,00;579645,00;5980062,00;7144551,00;8974184,00;10756785,00;1975694,00;3467937,00;4525751,00;8618183,00;2066534,00;14029036,00;64701,00;1939733,00;19493465,00;693205,00;4439765,00;8697175,00;4032456,00;2615377,00;5398045,00;2501888,00;6838254,00;7440549,00;5408678,00;8551506,00;3866659,00;3928117,00;6530761,00;5304266,00;208624,00
2013-01-28;9551015,00;575456,00;611533,00;7046472,00;9149761,00;10741974,00;1967287,00;3464193,00;4508895,00;8559933,00;2086003,00;1399893,00;6447204,00;1948062,00;19489659,00;6903917,00;4390811,00;8756567,00;3983279,00;2618192,00;5296012,00;2487062,00;6886798,00;7345583,00;538648,00;8552458,00;3875721,00;384235,00;6563888,00;5302315,00;21024,00
2013-01-29;966109,00;5791579,00;623007,00;7013145,00;9257737,00;10850282,00;1941131,00;350257,00;4491103,00;8621001,00;2086003,00;14285416,00;641095,00;1969347,00;19391702,00;6978001,00;4435999,00;8808534,00;4051013,00;2627573,00;5239651,00;2566752,00;7001625,00;7389267,00;5431841,00;8548649,00;3941872,00;3849968,00;6614998,00;5266225,00;209701,00
2013-01-30;9565249,00;5779889,00;6210493,00;7102654,00;9262432,00;10779928,00;1922449,00;3510058,00;4460201,00;8518594,00;2060971,00;14290271,00;6414767,00;1977676,00;19355563,00;6947992,00;4436941,00;8785334,00;4036167,00;2612563,00;5209527,00;2571426,00;7009093,00;7367426,00;5412539,00;8485791,00;395184,00;3809418,00;6601747,00;5246717,00;209522,00
2013-01-31;9541525,00;5729231,00;6192276,00;7034093,00;923802,00;10659586,00;1921515,00;3485722,00;4443345,00;8452827,00;2065607,00;14359222,00;6384238,00;1947136,00;19312767,00;693205,00;4429409,00;884287,00;4012971,00;257504,00;5252283,00;2549927,00;7016562,00;7450995,00;5328571,00;8340075,00;395184,00;3880687,00;6620676,00;5255495,00;209342,00
2013-02-01;9637367,00;5836392,00;6166854,00;7129316,00;9341301,00;10784557,00;1945802,00;3513802,00;4492976,00;8459404,00;2097129,00;14557333,00;6420491,00;1976751,00;19513435,00;6956432,00;4504723,00;8904118,00;3881216,00;2620068,00;5218272,00;2582642,00;7087511,00;7586796,00;5382619,00;8556268,00;4037927,00;3896661,00;6671787,00;5324749,00;208893,00
2013-02-04;9562401,00;5787682,00;6013233,00;7161691,00;9225814,00;10664214,00;1944868,00;3496017,00;4442408,00;8375787,00;2068388,00;14326204,00;6330814,00;1958242,00;19381241,00;6949868,00;448872,00;8778838,00;3790285,00;2574102,00;5214385,00;2539645,00;7024963,00;740731,00;5380688,00;8527696,00;4034303,00;3849722,00;6590389,00;5257446,00;209522,00
2013-02-05;9630724,00;5909456,00;6224224,00;7226443,00;9242715,00;10720682,00;1969155,00;3569963,00;4457391,00;8431219,00;2089712,00;14610745,00;6333676,00;1981159,00;19286136,00;7001446,00;4593218,00;8807607,00;3844101,00;257973,00;5236736,00;2571426,00;7066973,00;7469038,00;5575648,00;8501029,00;4037927,00;3920499,00;6698289,00;5295487,00;209791,00
2013-02-06;9744597,00;5899715,00;6217562,00;7264532,00;9173235,00;1072994,00;1979431,00;3585875,00;4442408,00;8435916,00;2080441,00;14675812,00;6360388,00;1963387,00;19198273,00;7069904,00;4576272,00;8822454,00;3812554,00;2564721,00;5262973,00;2553666,00;7108984,00;7498478,00;5538007,00;8511506,00;4055145,00;3952201,00;6749399,00;5317921,00;21006,00
2013-02-07;9699997,00;6053637,00;6402435,00;7373086,00;9023946,00;10647551,00;1971024,00;3642036,00;4428362,00;8344201,00;2084149,00;14592294,00;6326044,00;1946549,00;19076027,00;7038956,00;4540498,00;8781622,00;3804204,00;2559093,00;5313503,00;2520016,00;7108984,00;7513673,00;5506158,00;8566743,00;4028865,00;3859798,00;6741827,00;5302315,00;21042,00
2013-02-08;974175,00;6020514,00;6494871,00;7290242,00;9093427,00;10704945,00;1976628,00;3628932,00;4448027,00;837824,00;2086003,00;14722427,00;6392825,00;1964322,00;19261305,00;7078344,00;4578155,00;8803895,00;3820905,00;2584421,00;5304758,00;2512538,00;7071642,00;7488981,00;5572753,00;8580077,00;4018897,00;3877984,00;676549,00;5331577,00;211497,00
2013-02-11;9737955,00;603805,00;6562557,00;7224538,00;9069953,00;10704945,00;1986904,00;3613956,00;4472374,00;8347038,00;2081368,00;14784579,00;6332722,00;1967128,00;19116139,00;707178,00;4580979,00;8831734,00;3839462,00;2613501,00;5365978,00;2536841,00;7077242,00;7522219,00;5512914,00;8534363,00;4016179,00;3841858,00;6757918,00;5340356,00;211676,00
2013-02-12;9817664,00;6059482,00;6398059,00;7235965,00;9128167,00;10784557,00;195888,00;3515674,00;4492976,00;8364057,00;209342,00;14966182,00;6422399,00;1982094,00;19104677,00;7108353,00;4626168,00;8825238,00;3845957,00;2615377,00;5353345,00;252282,00;7093113,00;7587746,00;5502297,00;8569601,00;4027053,00;3853408,00;6757918,00;5359864,00;212843,00
2013-02-13;9821006,00;604974,00;6385889,00;7166486,00;9049297,00;10778027,00;197476,00;3482913,00;449581,00;8383913,00;2168516,00;150,06;6434801,00;1987707,00;19109453,00;7095224,00;4582862,00;8723159,00;3818122,00;2629449,00;5301842,00;2523755,00;7147259,00;7596292,00;552353,00;857487,00;4034303,00;3811543,00;6756971,00;5360839,00;212843,00
2013-02-14;9813367,00;6073121,00;6380146,00;7180861,00;9020191,00;10794819,00;1960748,00;3448281,00;4462739,00;836973,00;217037,00;15142928,00;6424306,00;1985836,00;19067432,00;710929,00;4633699,00;8682327,00;3821833,00;2630387,00;5307673,00;2529363,00;7167797,00;762953,00;5506158,00;8593074,00;4017085,00;3841341,00;6703021,00;5353036,00;214058,00
2013-02-15;9856334,00;6009798,00;6292222,00;7190444,00;89,77;1072485,00;1960748,00;350257,00;4435337,00;8354602,00;2159245,00;15051642,00;6441479,00;1975547,00;19194452,00;7142113,00;4601691,00;8713879,00;3843173,00;2627573,00;5339741,00;2550862,00;7145392,00;7634278,00;5532217,00;8697505,00;4023428,00;3890842,00;6559156,00;5424241,00;212664,00
2013-02-19;9947039,00;6067276,00;6289898,00;7154028,00;8976061,00;1081441,00;2004652,00;352597,00;4458015,00;8445372,00;2201892,00;15407077,00;6444341,00;197274,00;19131419,00;7217134,00;4655352,00;8709238,00;3917402,00;2653111,00;5293097,00;259012,00;722381,00;7654221,00;5468517,00;8720499,00;403249,00;3881483,00;6508045,00;5435946,00;212574,00
2013-02-20;9848695,00;6031231,00;613757,00;7166486,00;8752599,00;10727649,00;1971958,00;3531586,00;4397541,00;8412279,00;217037,00;15070093,00;6338446,00;1939066,00;19034959,00;7188064,00;4576272,00;8714807,00;3958228,00;2636085,00;5249368,00;2577034,00;7195804,00;7607688,00;5328571,00;8638104,00;4070549,00;382755,00;6550637,00;5325725,00;214908,00
2013-02-21;9807639,00;5995185,00;6099419,00;7284362,00;8593922,00;10727649,00;1939263,00;3529714,00;4395652,00;8376349,00;2174109,00;14652505,00;614192,00;1894168,00;18941367,00;7208694,00;4542381,00;873615,00;3943382,00;2600143,00;5299899,00;2562078,00;7192069,00;7633328,00;5331466,00;8566248,00;4088673,00;3877297,00;6650018,00;5283782,00;214908,00
2013-02-22;9885932,00;6095527,00;6164371,00;7346655,00;8594861,00;10818142,00;1952341,00;3605531,00;4463684,00;8434026,00;218626,00;1496424,00;6256401,00;1910069,00;19204958,00;7207749,00;4604515,00;8839159,00;3986991,00;2625681,00;5293097,00;2559274,00;7187402,00;7693157,00;525715,00;866972,00;4114046,00;3926305,00;6663269,00;5291586,00;214818,00
2013-02-25;9715024,00;6041947,00;6054842,00;7190444,00;8371398,00;10592375,00;1929922,00;353065,00;4387148,00;8292197,00;2132048,00;14338828,00;6098035,00;1892297,00;18863052,00;714347,00;4490602,00;892175,00;3945237,00;2588793,00;5251312,00;2508799,00;7087511,00;7526018,00;5144228,00;8466607,00;4143044,00;3839125,00;6667056,00;5227209,00;215627,00
