Date;abb;sne;phg;rtn;aet;dov;mog.a;eslt;irbt;gspc
2010-01-04;16,85;30,02;25,69;44,31;31,13;31,59;30,37;55,92;17,96;17,97
2010-01-05;16,96;29,88;25,69;43,66;30,69;31,44;31,21;55,26;18,11;18,04
2010-01-06;17,16;29,85;25,27;43,05;30,57;31,81;32,91;56,42;17,65;18,06
2010-01-07;17,3;29,8;25,13;43,58;31,54;32,51;32,28;57,03;17,41;18,2
2010-01-08;17,79;30,41;25,49;44,51;30,85;33,44;32,43;57,01;18,21;18,21
2010-01-11;17,57;30,6;25,76;44,98;30,89;33,84;32,5;56,41;17,8;18,12
2010-01-12;17,23;31,57;25,09;44,98;28,88;33,96;32,05;54,34;17,98;18,13
2010-01-13;17,29;33,16;25,62;45,6;29,01;34,28;32,66;54,76;18,33;18,58
2010-01-14;17,36;33,73;25,83;46,16;29,63;34,62;33,29;53,87;18,38;18,69
2010-01-15;17,19;33,34;25,39;45,81;29,59;33,99;32,8;53,74;18,3;18,75
2010-01-19;17,01;33,99;25,28;46,43;30,81;34,22;33,59;55,83;18,31;18,56
2010-01-20;16,37;33,25;24,44;46,23;30,64;33,89;32,8;55,81;17,95;18,4
2010-01-21;16,01;34,36;24,2;45,52;30,08;33,44;32,25;55,4;17,49;18,22
2010-01-22;15,43;34,18;23,54;44,98;29,53;32,64;31,87;55,29;17,26;17,53
2010-01-25;15,84;34,8;25,19;45,15;29,22;32,25;31,3;54,78;16,88;18,05
2010-01-26;15,88;33,5;25,79;45,37;28,77;32,03;31,05;53,81;16,57;18,01
2010-01-27;16,2;33,24;26,25;45,37;28,71;31,92;31,66;53,74;16,97;17,38
2010-01-28;15,6;33,8;25,45;44,72;28,64;31,7;30,81;54,17;16,13;16,79
2010-01-29;15,47;33,23;25,19;44,49;28,27;31,97;30,18;53,41;15,8;16,79
2010-02-01;15,85;34,21;25,74;44,94;28,09;32,41;30,24;53,38;15,39;17,07
2010-02-02;16,26;35,41;25,97;46,41;28,57;33,05;31,4;55,07;16,18;17,2
2010-02-03;16,01;34,94;25,94;46,52;28,61;32,9;31,58;53,25;15,83;17,15
2010-02-04;15,38;34,48;24,5;45,73;27,58;31,88;30,28;52,56;15,12;16,67
2010-02-05;15,07;34,26;24,12;45,32;27,93;30,94;30,32;52,17;15,02;16,44
2010-02-08;14,84;33,01;23,64;44,8;27,55;30,61;29,61;52,07;14,67;16,51
2010-02-09;15,42;33,77;24,49;45,32;27,33;31,36;30,12;52,63;14,97;16,54
2010-02-10;15,16;33,81;24,15;45,41;27,03;31,38;31,2;53,35;15,29;16,92
2010-02-11;15,6;34,06;24,57;45,54;27,22;31,97;32,18;55,26;15,68;16,99
2010-02-12;15,33;34,06;24,18;45,32;27,01;31,85;31,91;54,76;15,84;16,77
2010-02-16;15,71;34,22;24,3;46,25;27,12;32,55;32,1;54,58;16,88;17,07
2010-02-17;15,88;34,44;24,84;46,27;27,93;33,14;32,69;55,17;17,3;17,29
2010-02-18;17,08;34,71;25,27;46,98;28,06;33,88;32,99;55,04;17,23;17,7
2010-02-19;16,97;34,43;25,04;47,13;27,29;34,36;33,78;54,68;17,5;18,09
2010-02-22;17,2;34,78;25,26;47,39;27,69;34,31;34,04;53,79;16,89;18,43
2010-02-23;16,88;34,61;24,46;47,11;27,34;33,51;33,77;53,26;16,82;18,95
2010-02-24;17,08;34,6;24,54;47,67;27,89;33,52;34,16;53,99;16,53;18,89
2010-02-25;17,29;34;24,3;47,39;28,27;33,46;33,95;53,03;16,38;18,59
2010-02-26;17,38;34,11;24,41;47,73;28,29;33,94;33,96;53,07;16,19;18,61
2010-03-01;17,57;34,8;25,18;48,19;28,6;34,32;34,52;53,95;16,77;18,57
2010-03-02;17,65;34,85;25,25;48,25;29,27;34,61;34,66;52,91;16,95;18,3
2010-03-03;17,75;35,5;25,72;47,93;29,51;34,44;34,51;52,56;16,54;18,17
2010-03-04;17,81;35,04;25,44;48,14;28,92;34,55;35,07;51,76;16,85;18,05
2010-03-05;18,11;36,34;26,5;48,46;29,6;35,26;36,08;51,84;17;18,17
2010-03-08;18,2;36,75;26,32;48,43;29,45;35;36,06;50,72;16,54;18,16
2010-03-09;18,01;37,15;26,33;48,46;29,46;34,89;36,4;50,91;16,15;18,21
2010-03-10;18,06;37,65;27,18;48,46;29,86;34,75;36,94;52,36;15,83;18,46
2010-03-11;17,91;38,17;27,3;48,36;30,84;34,81;37,03;53,66;16,09;18,68
2010-03-12;18,14;37,34;27,69;48,1;30,04;34,82;36,56;53,53;15,96;18,88
2010-03-15;17,96;37,61;27,15;48;29,83;34,68;36,54;54,34;15,6;18,84
2010-03-16;18,32;37,57;27,55;48,21;30,14;34,77;36,95;54,82;16,04;18,92
2010-03-17;18,5;37,8;27,89;48,23;29,94;35,2;37,2;55,53;16,03;18,95
2010-03-18;18,52;38,36;27,78;48,23;31,36;35,32;36,95;55,38;16,04;18,89
2010-03-19;18,12;38,64;27,38;48,26;32,51;34,9;36,28;54,64;16,01;18,86
2010-03-22;18,32;38,84;27,52;48,45;32,68;34,81;36,98;54,93;16,16;18,84
2010-03-23;18,69;40,44;27,84;48,58;33,01;35,53;37,18;53,95;16,27;18,95
2010-03-24;18,34;38,7;27,28;48,46;32,46;34,8;36,84;55,06;15,97;18,93
2010-03-25;18,32;37,66;27,59;48,59;32,82;34,63;37,35;55,58;15,8;18,92
2010-03-26;18,44;38,22;27,67;48,62;32,38;34,55;36,9;55,62;15,68;18,95
2010-03-29;18,44;38,43;27,7;48,94;32,94;34,98;36,7;55,77;15,18;18,88
2010-03-30;18,56;38,84;27,46;48,75;33,38;35,34;36,4;55,97;15,26;18,95
2010-03-31;18,74;38,32;27,46;48,47;33,12;35,06;35,42;55,08;15,16;18,88
2010-04-01;18,99;38,42;28,21;48,62;32,95;35,25;35,69;55,68;14,52;18,96
2010-04-05;18,92;38,57;28,23;49,16;33,18;35,66;36,09;56,05;15,1;19,03
2010-04-06;19,14;37,42;28,13;48,75;33,12;35,74;35,42;56,23;15,02;19,04
2010-04-07;18,87;36,87;27,66;48,53;32,36;35,5;35,53;55,59;15,12;19,28
2010-04-08;18,81;36,85;27,86;48,49;31,76;35,35;35,46;55,84;15,16;19,2
2010-04-09;19,16;36,81;28,32;49,14;31,16;36,01;35,63;55,84;15,2;19,16
2010-04-12;19,25;36,54;28,66;49,06;31,06;35,86;35,83;55,56;15,12;18,95
2010-04-13;19,15;36,6;28,68;49,66;30,52;35,9;37,14;55,4;15;19,02
2010-04-14;19,35;37;29,1;49,72;30,09;36,52;37,88;56,02;15,08;19
2010-04-15;19,31;36,69;28,72;50,19;29,64;36,38;38,03;56,02;15,14;19,05
2010-04-16;19,15;35,56;28,15;49,82;29,62;35,83;37,94;55,16;15,12;18,22
2010-04-19;19,08;36,11;28,76;50,07;30,13;35,81;37,94;54,97;15,06;17,89
2010-04-20;19,27;35,67;30;50,67;30,16;36,19;38,3;55,08;15,1;17,86
2010-04-21;19,11;35,49;29,96;51,26;29,32;36,67;38,61;55,05;15,21;17,98
2010-04-22;17,73;35,13;29,88;50,86;29,01;37,69;38,8;55,21;15,9;17,83
2010-04-23;18,08;34,98;30,37;51,01;29,21;40,65;39,29;55,09;16,11;17,83
2010-04-26;17,59;35,07;30,79;50,7;28,43;40,21;39,09;54,77;15,78;17,26
2010-04-27;16,87;35,25;28,98;49,19;28,31;38,8;38;53,49;15,43;17,26
2010-04-28;16,54;34,7;28,77;49,77;28,77;39,03;37,76;52,49;15,22;17,71
2010-04-29;16,59;35,34;29,58;50,71;29,47;39,64;39,47;52,7;20,22;17,9
2010-04-30;16,44;34,22;28,6;49,79;27,88;39,16;37,17;53,05;20,16;17,14
2010-05-03;16,69;34,64;29,05;50,85;27,99;40,06;39,01;53,05;20,77;17,04
2010-05-04;16,08;33,48;27,38;50,07;27,26;38,94;37,19;51,71;20,01;17,12
2010-05-05;15,53;33,28;26,74;49,73;27,57;38,7;36,6;50,84;19,01;16,97
2010-05-06;15,18;33,2;25,55;48,35;27,13;36,55;34,71;49,68;18,54;16,36
2010-05-07;14,96;32,9;24,92;47,13;26,69;36,02;33,2;48,68;17,69;16,41
2010-05-10;15,92;34,31;27,7;48,34;27,79;38,2;35,92;51,4;19,41;17,02
2010-05-11;15,85;33,57;27,39;49,08;27,93;37,85;35,76;51,15;20,02;16,64
2010-05-12;16,3;33,24;28,22;49,54;28,78;38,83;36,56;50,66;21,45;16,51
2010-05-13;16,13;31,53;27,3;48,56;28,56;38,11;37,03;49,84;21,41;16,38
2010-05-14;15,46;31,19;26,58;48,11;28,1;37,12;35,96;49,32;21,08;16,17
2010-05-17;15,08;30,67;26,91;48,37;28,2;37,12;36;49,62;21,53;16,1
2010-05-18;14,82;30,42;26,49;47,36;28,15;36,18;35,01;49,05;20,88;15,55
2010-05-19;14,59;31,73;26,45;47,14;28,28;35,38;34,37;48,71;20,75;15,34
2010-05-20;13,77;30,67;25,01;45,5;27,41;33,16;32,05;47,02;19,15;14,62
2010-05-21;14,56;32,26;25,83;45,87;27,11;33,34;33;47,94;20,08;14,84
2010-05-24;14,19;31,37;25;44,97;26,97;32,99;31,94;46,14;19,87;15,19
2010-05-25;14,2;30,9;24,66;44,66;26,69;32,74;31,58;45,21;19,27;15,37
2010-05-26;14;30,39;24,56;44,02;26,95;33,01;31,64;42,97;20,33;15,87
2010-05-27;14,92;31,65;26,5;44,97;27,56;34,41;33,18;45,21;21,91;16,15
2010-05-28;14,59;30,78;25,58;44,77;27,51;33,87;33,01;45;21,46;16,26
2010-06-01;14,32;30,23;25,16;44,38;27,16;32,99;32,08;42,4;20,24;16,26
2010-06-02;14,74;30,15;25,65;45,22;27,93;34,07;32,86;43,62;21,36;16,27
2010-06-03;14,72;30,05;26,07;45,34;28,7;34,57;32,99;44,08;21,55;16,26
2010-06-04;14,11;29,24;24,55;43,97;28,5;32,48;30,77;42,75;19,7;15,88
2010-06-07;13,96;28,29;24,09;43,33;27,8;31,67;30,28;42,01;19,09;15,89
2010-06-08;14,35;28,62;24,44;43,11;27,76;31,91;31,02;43,09;19,06;15,79
2010-06-09;14,41;28,2;24,64;43,15;27,18;32,21;31,31;42,92;18,79;15,75
2010-06-10;15,04;28,22;26,14;43,99;27,22;33,69;32,22;44,04;19,07;15,66
2010-06-11;15,17;28,6;26,13;44,17;27;34,06;32,66;44,17;20,11;15,81
2010-06-14;15,45;28,4;26,74;43,91;27,62;34,26;32,76;44;20,28;15,9
2010-06-15;15,99;28,89;27,82;45,38;27,92;35,41;33,56;44,71;20,78;16,1
2010-06-16;15,82;28,33;27,74;45,15;27,66;35,01;33,62;44,11;20,66;16,06
2010-06-17;15,99;28,25;27,76;45,36;28,9;34,67;33,79;43,79;20,76;16,19
2010-06-18;15,96;27,93;27,76;45,49;28,71;34,43;33,31;43,42;21,56;16,26
2010-06-21;16,24;28,4;27,79;45,44;28,22;34,95;32,8;44,7;20,91;16,4
2010-06-22;15,91;27,56;26,91;44,57;27,55;33,57;32,35;45,06;20,52;16,44
