Date;AXLL;SM;STRZA;CNL;RVBD;BRKR;MSG;GSPC
2010-01-04;17,38;35,83;2,83;23,09;11,93;12,16;;17,97
2010-01-05;17,79;36,47;2,9;22,74;11,91;12,48;;18,04
2010-01-06;17,46;36,89;2,9;22,85;12,39;13,07;;18,06
2010-01-07;17,4;36,69;2,85;22,72;12;13,44;;18,2
2010-01-08;17,35;37,34;2,9;22,61;11,82;13,46;;18,21
2010-01-11;17,23;37;2,9;22,88;11,78;13,87;;18,12
2010-01-12;16,98;35,82;2,82;22,86;11,56;13,19;;18,13
2010-01-13;16,94;36,02;2,79;22,99;11,94;13,44;;18,58
2010-01-14;16,76;37,58;2,77;22,99;12,16;13,79;;18,69
2010-01-15;16,69;37,13;2,76;22,65;11,89;13,7;;18,75
2010-01-19;16,67;37,41;2,74;22,96;11,98;13,66;;18,56
2010-01-20;16,04;36,69;2,86;22,7;11,88;13,29;;18,4
2010-01-21;14,88;36,06;2,87;22,38;11,78;13,25;;18,22
2010-01-22;14,99;35,9;2,82;21,86;11,29;13,01;;17,53
2010-01-25;15,05;36,21;2,72;22,11;11,6;13,14;21,74;18,05
2010-01-26;15,13;35,29;2,78;22,19;11,74;12,62;21,31;18,01
2010-01-27;15,44;34,06;2,78;22,11;11,99;12,58;20,45;17,38
2010-01-28;15,04;32,92;2,81;21,97;11,52;12,29;20,4;16,79
2010-01-29;14,79;31,78;2,96;21,95;11,21;12,27;19,6;16,79
2010-02-01;15,27;33,11;3,12;22;11,62;12,74;19,65;17,07
2010-02-02;15,79;34,19;3,29;22,1;11,86;12,84;19,6;17,2
2010-02-03;15,85;33,34;3,27;22,05;11,46;12,71;19,3;17,15
2010-02-04;14,94;31,64;3,05;21,44;11,54;12,27;18,5;16,67
2010-02-05;14,78;31,62;3,08;21,32;12,05;12,83;18,08;16,44
2010-02-08;14,17;31,59;3,06;21,07;12,11;12,77;18,9;16,51
2010-02-09;13,69;32,45;3,09;21,12;12,02;12,84;18,22;16,54
2010-02-10;13,96;32,32;3,08;21,03;11,94;12,54;17,5;16,92
2010-02-11;14,78;32,91;3,08;21,32;12,49;12,79;17,72;16,99
2010-02-12;14,78;33,04;3,12;21,33;13,16;13,07;19,76;16,77
2010-02-16;15,28;34,15;3,28;21,72;13,26;12,94;20;17,07
2010-02-17;15,39;34,16;3,46;21,79;13,27;13,04;19,87;17,29
2010-02-18;15,32;33,84;3,57;21,99;13,52;13,47;19,69;17,7
2010-02-19;15,41;33,92;3,55;22,43;13,64;13,38;19,5;18,09
2010-02-22;14,98;33,23;3,55;22,55;13,39;13,48;19,33;18,43
2010-02-23;14,16;31,38;3,55;21,9;13,26;13,3;18,95;18,95
2010-02-24;14,1;31,65;3,64;22,2;13,36;13,59;18,97;18,89
2010-02-25;13,95;31,68;3,92;21,87;13,38;12,87;19,28;18,59
2010-02-26;13,75;32,31;3,87;21,56;13,62;12,5;19,5;18,61
2010-03-01;14,27;33,27;3,79;21,82;14,32;12,86;20,25;18,57
2010-03-02;14,28;33,93;3,69;21,89;14,16;13,33;20,5;18,3
2010-03-03;14,54;34,7;3,76;21,87;14,02;13,42;20,32;18,17
2010-03-04;14,66;34,76;3,73;22,07;13,94;13,19;19,96;18,05
2010-03-05;14,88;35,81;3,8;22,23;14,06;13,76;19,6;18,17
2010-03-08;14,67;35,97;3,78;22,3;14,52;14,31;19,5;18,16
2010-03-09;15,13;36,39;3,75;22,36;14,32;13,95;19,37;18,21
2010-03-10;16,01;36,58;3,78;22,73;14,44;13,99;18,99;18,46
2010-03-11;16,38;36,71;3,79;22,85;14,21;13,91;18,89;18,68
2010-03-12;16,18;36,53;3,84;22,7;13,95;13,86;19,4;18,88
2010-03-15;16,17;36,4;3,84;22,75;13,99;14;18,98;18,84
2010-03-16;16,38;36,71;3,92;22,95;13,98;14,63;19,51;18,92
2010-03-17;17,16;37,02;3,99;22,97;13,95;14,61;20,03;18,95
2010-03-18;16,99;35,61;3,98;22,9;13,89;13,86;20,06;18,89
2010-03-19;16,22;33,8;3,94;22,73;13,74;13,11;20,08;18,86
2010-03-22;16,59;33,33;3,94;22,65;14,22;13,49;20,11;18,84
2010-03-23;16,77;34,45;3,96;22,77;14,35;13,79;20,99;18,95
2010-03-24;16,92;34,55;4,11;22,49;14,21;14,56;20,83;18,93
2010-03-25;16,94;33,35;4,12;22,36;14,3;14,68;21,58;18,92
2010-03-26;17,71;33,3;4,13;22,4;14,26;14,7;22;18,95
2010-03-29;18;34,16;4,2;22,68;14,27;14,66;21,9;18,88
2010-03-30;17,87;33,91;4,18;22,79;14,41;14,66;21,91;18,95
2010-03-31;17,82;34,52;4,16;22,67;14,2;14,65;21,73;18,88
2010-04-01;17,71;36,36;4,21;22,85;14,19;14,63;21,81;18,96
2010-04-05;18,28;37,59;4,29;23,23;14,94;14,79;21,79;19,03
2010-04-06;19,39;38,04;4,32;23,54;14,76;14,71;22,06;19,04
2010-04-07;19,29;37,44;4,4;23,12;14,77;14,53;22,02;19,28
2010-04-08;18,59;37,29;4,56;22,82;14,49;14,49;22,03;19,2
2010-04-09;18,98;37,45;4,61;22,64;14,59;14,48;22,16;19,16
2010-04-12;19,22;37,78;4,6;22,67;14,61;14,92;22,33;18,95
2010-04-13;19,33;37,42;4,59;22,57;14,65;14,76;21,9;19,02
2010-04-14;19,89;37,78;4,83;22,7;15,1;15,33;21,99;19
2010-04-15;20,04;39,12;4,94;22,85;14,86;15,31;21,98;19,05
2010-04-16;19,7;38;4,91;22,81;14,38;15,2;21,81;18,22
2010-04-19;19,2;37,69;4,95;22,75;13,98;15,15;21,83;17,89
2010-04-20;19,61;39,16;5,08;23,04;14,39;15,56;21,92;17,86
2010-04-21;19,23;39,17;5,07;23,19;14,36;15,36;21,93;17,98
2010-04-22;19,39;39,49;5,06;23,4;14,53;14,99;21,68;17,83
2010-04-23;20,19;41,55;5,07;23,66;16;15,22;21,59;17,83
2010-04-26;20,74;41,52;5,01;23,23;15,77;15,36;21,67;17,26
2010-04-27;20,15;40,11;4,85;22,8;15,62;14,87;21,38;17,26
