"";"leto";"mesec";"dan";"1";"2";"3";"4";"5";"6";"7"
"101";"2010";"05";"27";"STRZA";"RVBD";"CNL";"SM";"AXLL";"BRKR";"MSG"
"111";"2010";"06";"11";"STRZA";"SM";"RVBD";"CNL";"AXLL";"BRKR";"MSG"
"121";"2010";"06";"25";"STRZA";"SM";"RVBD";"MSG";"CNL";"AXLL";"BRKR"
"131";"2010";"07";"12";"STRZA";"SM";"CNL";"MSG";"RVBD";"BRKR";"AXLL"
"141";"2010";"07";"26";"STRZA";"SM";"CNL";"RVBD";"MSG";"BRKR";"AXLL"
"151";"2010";"08";"09";"STRZA";"RVBD";"SM";"CNL";"BRKR";"AXLL";"MSG"
"161";"2010";"08";"23";"STRZA";"RVBD";"CNL";"SM";"AXLL";"BRKR";"MSG"
"171";"2010";"09";"07";"RVBD";"CNL";"STRZA";"AXLL";"BRKR";"MSG";"SM"
"181";"2010";"09";"21";"RVBD";"STRZA";"CNL";"SM";"MSG";"BRKR";"AXLL"
"191";"2010";"10";"05";"RVBD";"STRZA";"MSG";"SM";"AXLL";"CNL";"BRKR"
"201";"2010";"10";"19";"RVBD";"STRZA";"CNL";"AXLL";"BRKR";"SM";"MSG"
"211";"2010";"11";"02";"RVBD";"STRZA";"AXLL";"CNL";"BRKR";"SM";"MSG"
"221";"2010";"11";"16";"RVBD";"STRZA";"AXLL";"BRKR";"CNL";"SM";"MSG"
"231";"2010";"12";"01";"RVBD";"BRKR";"STRZA";"AXLL";"MSG";"SM";"CNL"
"241";"2010";"12";"15";"RVBD";"STRZA";"SM";"BRKR";"MSG";"AXLL";"CNL"
"251";"2010";"12";"30";"SM";"RVBD";"STRZA";"AXLL";"BRKR";"MSG";"CNL"
"261";"2011";"01";"13";"SM";"RVBD";"STRZA";"AXLL";"BRKR";"MSG";"CNL"
"271";"2011";"01";"28";"SM";"AXLL";"STRZA";"RVBD";"BRKR";"MSG";"CNL"
"281";"2011";"02";"11";"SM";"AXLL";"STRZA";"RVBD";"BRKR";"MSG";"CNL"
"291";"2011";"02";"28";"SM";"RVBD";"AXLL";"STRZA";"MSG";"BRKR";"CNL"
"301";"2011";"03";"14";"SM";"AXLL";"MSG";"RVBD";"STRZA";"BRKR";"CNL"
"311";"2011";"03";"28";"SM";"AXLL";"STRZA";"BRKR";"MSG";"RVBD";"CNL"
"321";"2011";"04";"11";"AXLL";"SM";"BRKR";"STRZA";"MSG";"CNL";"RVBD"
"331";"2011";"04";"26";"AXLL";"SM";"STRZA";"BRKR";"CNL";"MSG";"RVBD"
"341";"2011";"05";"10";"STRZA";"AXLL";"SM";"CNL";"BRKR";"MSG";"RVBD"
"351";"2011";"05";"24";"STRZA";"CNL";"BRKR";"AXLL";"SM";"MSG";"RVBD"
"361";"2011";"06";"08";"STRZA";"CNL";"SM";"MSG";"BRKR";"RVBD";"AXLL"
"371";"2011";"06";"22";"CNL";"STRZA";"SM";"BRKR";"MSG";"AXLL";"RVBD"
"381";"2011";"07";"07";"STRZA";"CNL";"BRKR";"SM";"AXLL";"MSG";"RVBD"
"391";"2011";"07";"21";"STRZA";"CNL";"SM";"BRKR";"AXLL";"MSG";"RVBD"
"401";"2011";"08";"04";"CNL";"STRZA";"SM";"MSG";"AXLL";"RVBD";"BRKR"
"411";"2011";"08";"18";"CNL";"SM";"STRZA";"AXLL";"BRKR";"RVBD";"MSG"
"421";"2011";"09";"01";"CNL";"SM";"STRZA";"AXLL";"BRKR";"RVBD";"MSG"
"431";"2011";"09";"16";"SM";"CNL";"AXLL";"BRKR";"RVBD";"STRZA";"MSG"
"441";"2011";"09";"30";"CNL";"SM";"MSG";"AXLL";"RVBD";"BRKR";"STRZA"
"451";"2011";"10";"14";"CNL";"SM";"MSG";"AXLL";"RVBD";"BRKR";"STRZA"
"461";"2011";"10";"28";"RVBD";"CNL";"SM";"MSG";"STRZA";"AXLL";"BRKR"
"471";"2011";"11";"11";"CNL";"SM";"MSG";"STRZA";"AXLL";"BRKR";"RVBD"
"481";"2011";"11";"28";"CNL";"SM";"MSG";"STRZA";"AXLL";"BRKR";"RVBD"
"491";"2011";"12";"12";"CNL";"MSG";"SM";"AXLL";"STRZA";"RVBD";"BRKR"
"501";"2011";"12";"27";"CNL";"MSG";"STRZA";"AXLL";"RVBD";"SM";"BRKR"
"511";"2012";"01";"11";"MSG";"STRZA";"CNL";"RVBD";"SM";"AXLL";"BRKR"
"521";"2012";"01";"26";"AXLL";"MSG";"STRZA";"RVBD";"CNL";"BRKR";"SM"
"531";"2012";"02";"09";"AXLL";"MSG";"STRZA";"RVBD";"CNL";"SM";"BRKR"
"541";"2012";"02";"24";"AXLL";"MSG";"RVBD";"STRZA";"SM";"BRKR";"CNL"
"551";"2012";"03";"09";"AXLL";"MSG";"STRZA";"RVBD";"BRKR";"SM";"CNL"
"561";"2012";"03";"23";"AXLL";"MSG";"STRZA";"BRKR";"SM";"RVBD";"CNL"
"571";"2012";"04";"09";"AXLL";"MSG";"BRKR";"SM";"CNL";"RVBD";"STRZA"
"581";"2012";"04";"23";"AXLL";"SM";"CNL";"RVBD";"STRZA";"BRKR";"MSG"
"591";"2012";"05";"07";"AXLL";"SM";"CNL";"STRZA";"RVBD";"MSG";"BRKR"
"601";"2012";"05";"21";"MSG";"AXLL";"BRKR";"SM";"RVBD";"STRZA";"CNL"
